loc_rowid	pl_hostname	pl_discmethod	pl_pnum	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	st_dist	st_disterr1	st_disterr2	st_distlim	pl_facility
1	11 Com	Radial Velocity	1	326.03000000	0.32000000	-0.32000000	0	110.62	9.61	-11.63	0	Xinglong Station
2	11 UMi	Radial Velocity	1	516.21997000	3.20000000	-3.20000000	0	119.47	6.22	-6.95	0	Thueringer Landessternwarte Tautenburg
3	14 And	Radial Velocity	1	185.84000000	0.23000000	-0.23000000	0	76.39	3.93	-4.38	0	Okayama Astrophysical Observatory
4	14 Her	Radial Velocity	1	1773.40002000	2.50000000	-2.50000000	0	18.15	0.19	-0.20	0	W. M. Keck Observatory
5	16 Cyg B	Radial Velocity	1	798.50000000	1.00000000	-1.00000000	0	21.41	0.23	-0.23	0	Multiple Observatories
6	18 Del	Radial Velocity	1	993.30000000	3.20000000	-3.20000000	0	73.10	3.56	-3.94	0	Okayama Astrophysical Observatory
7	1RXS J160929.1-210524	Imaging	1					145.00	14.00	-14.00	0	Gemini Observatory
8	24 Boo	Radial Velocity	1	30.35060000	0.00780000	-0.00770000	0	97.75	5.33	-5.33	0	Okayama Astrophysical Observatory
9	24 Sex	Radial Velocity	2	452.80000000	2.10000000	-4.50000000	0	74.79	4.57	-5.21	0	Lick Observatory
10	24 Sex	Radial Velocity	2	883.00000000	32.40000000	-13.80000000	0	74.79	4.57	-5.21	0	Lick Observatory
11	2MASS J01225093-2439505	Imaging	1					36.00	4.00	-4.00	0	W. M. Keck Observatory
12	2MASS J02192210-3925225	Imaging	1					39.40	2.60	-2.60	0	Cerro Tololo Inter-American Observatory
13	2MASS J04414489+2301513	Imaging	1					140.00			0	Hubble Space Telescope
14	2MASS J12073346-3932539	Imaging	1					52.40	1.10	-1.10	0	Paranal Observatory
15	2MASS J19383260+4603591	Eclipse Timing Variations	1	416.00000000	2.00000000	-2.00000000	0					Kepler
16	2MASS J21402931+1625183 A	Imaging	1	7336.50000000	1934.50000000	-584.00000000	0	25.00	10.00	-10.00	0	W. M. Keck Observatory
17	2MASS J22362452+4751425	Imaging	1					74.00	10.00	-10.00	0	W. M. Keck Observatory
18	30 Ari B	Radial Velocity	1	335.10001000	2.50000000	-2.50000000	0	39.43	1.64	-1.79	0	Thueringer Landessternwarte Tautenburg
19	4 UMa	Radial Velocity	1	269.30000000	1.96000000	-1.96000000	0	77.40	4.03	-4.50	0	Thueringer Landessternwarte Tautenburg
20	42 Dra	Radial Velocity	1	479.10000000	6.20000000	-6.20000000	0	97.28	4.34	-4.76	0	Thueringer Landessternwarte Tautenburg
21	47 UMa	Radial Velocity	3	1078.00000000	2.00000000	-2.00000000	0	14.08	0.13	-0.13	0	Lick Observatory
22	47 UMa	Radial Velocity	3	2391.00000000	100.00000000	-87.00000000	0	14.08	0.13	-0.13	0	Lick Observatory
23	47 UMa	Radial Velocity	3	14002.00000000	4018.00000000	-5095.00000000	0	14.08	0.13	-0.13	0	Lick Observatory
24	51 Eri	Imaging	1				0	29.40	0.30	-0.30	0	Gemini Observatory
25	51 Peg	Radial Velocity	1	4.23078500	0.00003600	-0.00003600	0	15.36	0.18	-0.18	0	Haute-Provence Observatory
26	55 Cnc	Radial Velocity	5	14.65152000	0.00015000	-0.00015000	0	12.53	0.13	-0.13	0	Lick Observatory
27	55 Cnc	Radial Velocity	5	44.41750000	0.00730000	-0.00730000	0	12.53	0.13	-0.13	0	McDonald Observatory
28	55 Cnc	Radial Velocity	5	4825.00000000	39.00000000	-39.00000000	0	12.53	0.13	-0.13	0	Lick Observatory
29	55 Cnc	Radial Velocity	5	0.73653900	0.00000700	-0.00000700	0	12.53	0.13	-0.13	0	McDonald Observatory
30	55 Cnc	Radial Velocity	5	262.00000000	0.51000000	-0.51000000	0	12.53	0.13	-0.13	0	Multiple Observatories
31	6 Lyn	Radial Velocity	1	874.77400000	16.27000000	-8.47000000	0	56.95	2.36	-2.58	0	Okayama Astrophysical Observatory
32	61 Vir	Radial Velocity	3	4.21500000	0.00060000	-0.00060000	0	8.52	0.05	-0.05	0	Multiple Observatories
33	61 Vir	Radial Velocity	3	38.02100000	0.03400000	-0.03400000	0	8.52	0.05	-0.05	0	Multiple Observatories
34	61 Vir	Radial Velocity	3	123.01000000	0.55000000	-0.55000000	0	8.52	0.05	-0.05	0	Multiple Observatories
35	7 CMa	Radial Velocity	1	796.00000000	7.40000000	-7.40000000	0	19.84	0.27	-0.28	0	Anglo-Australian Telescope
36	70 Vir	Radial Velocity	1	116.68840000	0.00440000	-0.00440000	0	18.11	0.24	-0.24	0	Lick Observatory
37	75 Cet	Radial Velocity	1	691.90000000	3.60000000	-3.60000000	0	81.50	6.87	-8.27	0	Okayama Astrophysical Observatory
38	8 UMi	Radial Velocity	1	93.40000000	4.50000000	-4.50000000	0	159.10	11.00	-11.00	0	Bohyunsan Optical Astronomical Observatory
39	81 Cet	Radial Velocity	1	952.70000000	8.80000000	-8.80000000	0	97.18	8.37	-10.11	0	Okayama Astrophysical Observatory
40	91 Aqr	Radial Velocity	1	181.40000000	0.10000000	-0.10000000	0	45.52	1.77	-1.92	0	Lick Observatory
41	AB Pic	Imaging	1					45.52	1.64	-1.76	0	Paranal Observatory
42	BD+03 2562	Radial Velocity	1	481.90000000	2.70000000	-2.80000000	0	2618.00	564.00	-564.00	0	Multiple Observatories
43	BD+14 4559	Radial Velocity	1	268.94000000	0.99000000	-0.99000000	0	50.03	3.73	-4.38	0	McDonald Observatory
44	BD+15 2375	Radial Velocity	1	153.22000000	0.44000000	-0.44000000	0	774.00	165.00	-165.00	0	Roque de los Muchachos Observatory
45	BD+15 2940	Radial Velocity	1	137.48000000	0.34000000	-0.34000000	0	175.44			-1	McDonald Observatory
46	BD+20 1790	Radial Velocity	1	7.78287000	0.00077000	-0.00076000	0	25.40	4.00	-4.00	0	Multiple Observatories
47	BD+20 2457	Radial Velocity	2	379.63000000	2.00000000	-2.00000000	0	200.00		-168.25	0	McDonald Observatory
48	BD+20 2457	Radial Velocity	2	621.99000000	10.20000000	-10.20000000	0	200.00		-168.25	0	McDonald Observatory
49	BD+20 274	Radial Velocity	1	578.20000000	5.40000000	-5.40000000	0					McDonald Observatory
