Planet,Distance
HD 25171 b,56.05
Kepler-1540 b,262.00
Kepler-1026 b,389.00
Kepler-1118 b,818.00
Kepler-449 b,
K2-86 b,
HAT-P-13 c,214.00
HAT-P-13 b,214.00
Kepler-1394 b,820.00
Kepler-568 b,126.00
DENIS-P J082303.1-491201 b,20.77
GJ 328 b,20.03
Kepler-944 b,1035.00
Kepler-848 b,797.00
Kepler-958 b,467.00
Kepler-1038 b,622.00
HD 49674 b,40.73
Kepler-608 b,926.00
HIP 107773 b,103.63
GJ 667 C c,6.80
GJ 667 C b,6.80
GJ 667 C e,6.80
HD 176986 c,26.40
GJ 667 C g,6.80
GJ 667 C f,6.80
Kepler-560 b,88.00
Kepler-449 c,
Kepler-1533 b,852.00
Kepler-364 c,
Kepler-256 c,
Kepler-228 d,
Kepler-228 b,
Kepler-228 c,
PSR J1719-1438 b,1200.00
K2-11 b,
Kepler-1335 b,628.00
WASP-67 b,225.00
GJ 433 b,9.04
Kepler-1411 b,1431.00
Kepler-314 c,
OGLE-2016-BLG-1190L b,6770.00
Kepler-1631 b,1190.00
K2-179 b,
Kepler-265 c,
HD 96063 b,132.80
Kepler-19 b,2119.00
Kepler-1280 b,1006.00
Kepler-857 b,1039.00
Kepler-831 b,577.00
GJ 581 c,6.27
GJ 581 b,6.27
Kepler-533 b,305.00
GJ 581 e,6.27
7 CMa b,19.84
Kepler-1157 b,346.00
K2-122 b,74.00
HD 31253 b,53.82
Kepler-31 d,2100.00
Kepler-1549 b,792.00
Kepler-354 b,
Kepler-354 c,
Kepler-31 c,2100.00
Kepler-31 b,2100.00
NN Ser c,500.00
Kepler-730 b,1455.00
Kepler-1450 b,490.00
HD 10180 f,39.02
HD 10180 g,39.02
HD 10180 d,39.02
HD 10180 e,39.02
Kepler-1231 b,948.00
HD 10180 c,39.02
OGLE-2012-BLG-0406L b,4970.00
Kepler-399 d,
Kepler-1284 b,852.00
HD 116029 b,110.62
HD 10180 h,39.02
K2-192 b,
Kepler-133 c,
Kepler-1197 b,505.00
Kepler-1385 b,527.00
K2-167 b,78.12
K2-233 b,69.00
K2-233 c,69.00
K2-233 d,69.00
HD 285968 b,9.42
K2-59 c,
K2-59 b,
Kepler-1596 b,1166.00
47 UMa d,14.08
Kepler-1308 b,73.00
47 UMa b,14.08
47 UMa c,14.08
HD 142 c,25.64
HD 142 b,25.64
K2-24 c,
K2-24 b,
HAT-P-52 b,385.00
HIP 67851 c,65.96
HIP 67851 b,65.96
HATS-14 b,513.00
Kepler-655 b,783.00
HIP 14810 d,52.88
Kepler-559 b,793.00
Kepler-474 b,568.00
Kepler-838 b,1210.00
YZ Cet c,3.60
Kepler-887 b,831.00
Kepler-294 c,
Kepler-294 b,
Kepler-1190 b,384.00
RR Cae b,
6 Lyn b,56.95
Kepler-694 b,1023.00
HD 210277 b,21.29
Kepler-1248 b,540.00
HD 126614 b,68.35
Kepler-939 b,1029.00
Kepler-1463 b,1341.00
WASP-32 b,
Kepler-1015 b,932.00
HD 176986 b,26.40
XO-6 b,232.72
Kepler-750 b,1181.00
Kepler-481 b,713.00
K2-195 b,
HD 30177 b,54.71
HD 30177 c,54.71
Kepler-1291 b,982.00
Kepler-165 c,
HD 68988 b,58.82
Kepler-825 b,820.00
K2-225 b,
Kepler-1471 b,1059.00
MOA-2010-BLG-073L b,2800.00
Kepler-1174 b,829.00
Kepler-465 b,587.00
HD 177830 c,59.03
HD 177830 b,59.03
Kepler-603 d,967.00
Kepler-184 d,
Kepler-1310 b,583.00
HD 219415 b,169.78
Kepler-1476 b,1218.00
Kepler-937 c,1482.00
Kepler-937 b,1482.00
WASP-167 b,381.00
K2-64 b,
HD 231701 b,108.46
Kepler-74 b,1330.00
24 Boo b,97.75
Kepler-1270 b,1204.00
HD 86226 b,42.48
HD 156668 b,24.05
Kepler-380 c,
Kepler-380 b,
Kepler-812 b,1482.00
HAT-P-32 b,283.00
Kepler-364 b,
Kepler-552 b,834.00
Kepler-81 b,
Kepler-81 c,
Kepler-81 d,
WASP-81 b,
Kepler-388 c,
Kepler-974 b,121.00
MOA-2007-BLG-400L b,5800.00
WASP-131 b,250.00
Kepler-732 c,150.00
Kepler-65 d,
Kepler-1052 b,1051.00
Kepler-272 c,
Kepler-272 b,
K2-80  d,
Kepler-1353 b,596.00
Kepler-1247 b,1094.00
Kepler-826 b,649.00
HATS-33 b,255.00
Kepler-258 c,
Kepler-258 b,
Kepler-737 b,195.00
Kepler-1088 b,300.00
HD 208527 b,352.11
Kepler-473 b,641.00
Kepler-1104 b,516.00
Kepler-56 d,
Kepler-1644 b,592.00
Kepler-715 b,1214.00
Kepler-46 b,855.00
HD 75289 b,28.94
Kepler-692 b,1000.00
K2-6 b,
Kepler-285 b,
Kepler-246 b,
Kepler-246 c,
Kepler-58 b,
Kepler-546 b,896.00
Kepler-1443 b,475.00
Kepler-319 c,
GJ 676 A c,16.90
GJ 676 A b,16.90
GJ 676 A e,16.90
GJ 676 A d,16.90
HD 16175 b,59.84
Kepler-319 b,
Kepler-1267 b,1628.00
Kepler-58 c,
Kepler-969 b,411.00
Kepler-235 e,369.00
WASP-95 b,
HATS-1 b,303.00
Kepler-659 b,688.00
K2-105 b,
Kepler-195 c,
Kepler-195 b,
Kepler-49 d,
Kepler-1515 b,504.00
GJ 163 d,14.97
GJ 163 c,14.97
GJ 163 b,14.97
Kepler-49 b,
Kepler-49 c,
Kepler-314 b,
Kepler-1359 b,669.00
HD 24064 b,264.40
OGLE-2013-BLG-1721L b,6300.00
Kepler-349 b,
Kepler-349 c,
WASP-89 b,
HD 52265 b,28.07
Kepler-1009 b,281.00
HD 102272 b,164.20
XO-2 N b,145.50
CoRoTID 223977153 b,
Kepler-438 b,145.00
Kepler-1433 b,1328.00
Kepler-745 b,1199.00
Kepler-791 b,1447.00
Kepler-1613 b,855.00
HD 108147 b,38.56
HAT-P-15 b,190.00
Kepler-283 c,
Kepler-283 b,
Kepler-391 c,
Kepler-141 b,
Kepler-141 c,
Kepler-252 c,
Kepler-252 b,
HD 222076 b,83.50
Kepler-532 b,325.00
