Word,Num_ocurrences
with,15399
night,8146
death,4204
an,8112
is,10824
it,7222
il,4352
you,11756
girl,6219
not,4444
love,16940
les,6638
die,11056
-,20778
city,4185
little,5645
big,6519
in,48992
from,10570
on,18478
of,115607
du,4616
we,4558
show,6474
two,4166
your,5898
making,4532
last,7272
lost,4009
home,5016
girls,5170
black,7308
no,20416
film,4153
1,4571
das,4569
day,7465
american,4200
i,17572
life,11253
2,15320
el,12943
en,7974
y,4007
me,10385
my,16195
up,5541
un,6247
man,10217
all,6350
3,7226
world,7713
do,5737
de,37379
dead,4153
new,7130
4,4492
der,11770
des,4850
del,6439
le,11005
la,31240
and,42360
&,17734
to,33338
los,4475
a,75649
first,4130
story,8934
live,6284
red,4469
no.,4311
o,7081
time,7003
house,4906
one,8123
at,11627
out,5622
for,19234
be,4276
by,5153
the,323343
war,4082
di,4927
white,4033
